sweep,idx,os,tr,sl,tp,rb,es,mc,cd,mbt,trades,wr,pnl,dd,sharpe,pf
3,9,40,6,3.0,20,5,60,3.5,5,3,124,0.4758,381.65,18.09,2.56,1.78
3,10,40,6,3.0,20,5,60,3.5,10,5,124,0.4677,371.03,19.9,2.52,1.75
3,11,40,6,3.0,20,5,60,3.5,15,8,124,0.4597,352.69,19.9,2.46,1.73
3,12,40,6,3.0,20,5,60,3.5,20,3,124,0.4758,381.65,18.09,2.56,1.78
3,13,40,6,3.0,20,5,60,4.0,5,5,124,0.4677,371.03,19.9,2.52,1.75
3,14,40,6,3.0,20,5,60,4.0,10,8,124,0.4597,352.69,19.9,2.46,1.73
3,15,40,6,3.0,20,5,60,4.0,15,3,124,0.4758,381.65,18.09,2.56,1.78
3,16,40,6,3.0,20,5,60,4.0,20,5,124,0.4677,371.03,19.9,2.52,1.75
3,17,40,4,3.0,20,5,60,2.5,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,18,40,4,3.0,20,5,60,2.5,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,19,40,4,3.0,20,5,60,2.5,15,5,142,0.5211,407.26,22.6,2.94,1.83
3,20,40,4,3.0,20,5,60,3.0,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,21,40,4,3.0,20,5,60,3.0,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,22,40,4,3.0,20,5,60,3.0,15,5,142,0.5211,407.26,22.6,2.94,1.83
3,23,40,4,3.0,20,5,60,3.5,5,8,151,0.5099,344.27,22.99,2.69,1.77
3,24,40,4,3.0,20,5,60,3.5,10,3,142,0.5282,418.88,22.6,2.98,1.86
3,25,40,4,3.0,20,5,60,3.5,15,5,142,0.5211,407.26,22.6,2.94,1.83
