idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
63,2.0,8,10,50,30,40,3.0,150,-14.7,17.23,-1.18,0.2067,0.73
64,2.0,8,10,50,30,55,3.0,164,-4.32,12.9,0.03,0.2317,0.99
65,2.0,8,15,30,20,40,3.0,141,-9.01,9.87,-1.09,0.1844,0.73
66,2.0,8,15,30,20,55,3.0,165,-3.75,10.97,-0.14,0.2242,0.95
67,2.0,8,15,30,30,40,3.0,141,-8.69,9.56,-1.03,0.1986,0.74
68,2.0,8,15,30,30,55,3.0,150,-3.93,9.74,-0.21,0.2133,0.93
69,2.0,8,15,50,20,40,3.0,141,-14.76,16.09,-1.09,0.1844,0.72
70,2.0,8,15,50,20,55,3.0,165,-6.47,17.62,-0.14,0.2242,0.94
71,2.0,8,15,50,30,40,3.0,141,-14.26,15.6,-1.03,0.1986,0.73
72,2.0,8,15,50,30,55,3.0,150,-6.73,15.71,-0.21,0.2133,0.93
73,3.0,4,5,30,20,40,3.0,167,-9.49,11.6,-1.31,0.3533,0.77
74,3.0,4,5,30,20,55,3.0,222,-12.84,14.42,-1.52,0.3829,0.77
75,3.0,4,5,30,30,40,3.0,167,-9.41,11.53,-1.3,0.3533,0.77
76,3.0,4,5,30,30,55,3.0,202,-9.53,11.41,-1.07,0.3812,0.82
77,3.0,4,5,50,20,40,3.0,167,-15.46,18.65,-1.31,0.3533,0.76
78,3.0,4,5,50,20,55,3.0,222,-20.66,23.01,-1.52,0.3829,0.76
79,3.0,4,5,50,30,40,3.0,167,-15.34,18.53,-1.3,0.3533,0.76
80,3.0,4,5,50,30,55,3.0,202,-15.56,18.35,-1.07,0.3812,0.81
81,3.0,4,10,30,20,40,3.0,157,-11.03,14.45,-1.58,0.3503,0.69
82,3.0,4,10,30,20,55,3.0,195,-11.39,13.68,-1.28,0.3795,0.77
83,3.0,4,10,30,30,40,3.0,157,-11.06,14.48,-1.58,0.3503,0.68
84,3.0,4,10,30,30,55,3.0,183,-11.86,13.41,-1.52,0.3607,0.72
85,3.0,4,10,50,20,40,3.0,157,-17.86,22.96,-1.58,0.3503,0.67
86,3.0,4,10,50,20,55,3.0,195,-18.48,21.83,-1.28,0.3795,0.76
87,3.0,4,10,50,30,40,3.0,157,-17.89,23.0,-1.58,0.3503,0.67
88,3.0,4,10,50,30,55,3.0,183,-19.16,21.4,-1.52,0.3607,0.71
89,3.0,4,15,30,20,40,3.0,156,-14.01,15.39,-2.56,0.3397,0.58
90,3.0,4,15,30,20,55,3.0,191,-12.34,15.63,-1.41,0.3665,0.74
91,3.0,4,15,30,30,40,3.0,156,-14.03,15.41,-2.56,0.3397,0.58
92,3.0,4,15,30,30,55,3.0,181,-11.21,14.2,-1.34,0.3591,0.74
93,3.0,4,15,50,20,40,3.0,156,-22.35,24.4,-2.56,0.3397,0.57
94,3.0,4,15,50,20,55,3.0,191,-19.94,24.73,-1.41,0.3665,0.73
95,3.0,4,15,50,30,40,3.0,156,-22.39,24.43,-2.56,0.3397,0.57
96,3.0,4,15,50,30,55,3.0,181,-18.18,22.58,-1.34,0.3591,0.73
97,3.0,6,5,30,20,40,3.0,154,-9.26,10.33,-1.27,0.3377,0.78
98,3.0,6,5,30,20,55,3.0,208,-14.53,15.66,-1.83,0.3558,0.74
99,3.0,6,5,30,30,40,3.0,154,-9.29,10.36,-1.28,0.3377,0.78
100,3.0,6,5,30,30,55,3.0,189,-11.82,13.6,-1.46,0.3439,0.77
101,3.0,6,5,50,20,40,3.0,154,-15.11,16.75,-1.27,0.3377,0.77
102,3.0,6,5,50,20,55,3.0,208,-23.21,24.89,-1.83,0.3558,0.73
103,3.0,6,5,50,30,40,3.0,154,-15.16,16.81,-1.28,0.3377,0.77
104,3.0,6,5,50,30,55,3.0,189,-19.1,21.79,-1.46,0.3439,0.77
105,3.0,6,10,30,20,40,3.0,127,-3.23,8.66,-0.18,0.3307,0.95
106,3.0,6,10,30,20,55,3.0,175,-7.29,11.01,-0.62,0.3314,0.87
107,3.0,6,10,30,30,40,3.0,129,-3.32,8.75,-0.19,0.3333,0.95
108,3.0,6,10,30,30,55,3.0,158,-8.18,10.56,-0.84,0.3291,0.82
109,3.0,6,10,50,20,40,3.0,127,-5.54,14.08,-0.18,0.3307,0.94
110,3.0,6,10,50,20,55,3.0,175,-12.12,17.75,-0.62,0.3314,0.86
111,3.0,6,10,50,30,40,3.0,129,-5.7,14.22,-0.19,0.3333,0.94
112,3.0,6,10,50,30,55,3.0,158,-13.49,17.15,-0.84,0.3291,0.82
113,3.0,6,15,30,20,40,3.0,123,-4.34,8.97,-0.34,0.3171,0.9
114,3.0,6,15,30,20,55,3.0,166,-9.47,12.7,-0.91,0.3133,0.79
115,3.0,6,15,30,30,40,3.0,125,-4.26,8.89,-0.32,0.32,0.91
116,3.0,6,15,30,30,55,3.0,151,-7.27,9.75,-0.64,0.3179,0.84
117,3.0,6,15,50,20,40,3.0,123,-7.37,14.57,-0.34,0.3171,0.89
118,3.0,6,15,50,20,55,3.0,166,-15.56,20.34,-0.91,0.3133,0.78
119,3.0,6,15,50,30,40,3.0,125,-7.24,14.44,-0.32,0.32,0.9
120,3.0,6,15,50,30,55,3.0,151,-12.1,15.8,-0.64,0.3179,0.83
121,3.0,8,5,30,20,40,3.0,153,-8.68,9.75,-1.16,0.3399,0.8
122,3.0,8,5,30,20,55,3.0,194,-12.42,13.8,-1.48,0.3505,0.78
123,3.0,8,5,30,30,40,3.0,153,-8.67,9.74,-1.16,0.3399,0.8
124,3.0,8,5,30,30,55,3.0,184,-8.91,10.76,-0.97,0.3533,0.84
125,3.0,8,5,50,20,40,3.0,153,-14.2,15.87,-1.16,0.3399,0.79
126,3.0,8,5,50,20,55,3.0,194,-20.05,22.09,-1.48,0.3505,0.77
127,3.0,8,5,50,30,40,3.0,153,-14.19,15.85,-1.16,0.3399,0.79
128,3.0,8,5,50,30,55,3.0,184,-14.61,17.46,-0.97,0.3533,0.84
129,3.0,8,10,30,20,40,3.0,118,-0.82,6.48,0.17,0.3051,1.04
130,3.0,8,10,30,20,55,3.0,152,0.7,8.64,0.41,0.3355,1.09
131,3.0,8,10,30,30,40,3.0,120,-1.13,6.79,0.13,0.3083,1.02
132,3.0,8,10,30,30,55,3.0,143,0.86,7.93,0.43,0.3217,1.09
133,3.0,8,10,50,20,40,3.0,118,-1.6,10.66,0.17,0.3051,1.03
134,3.0,8,10,50,20,55,3.0,152,0.82,14.01,0.41,0.3355,1.08
135,3.0,8,10,50,30,40,3.0,120,-2.13,11.14,0.13,0.3083,1.02
136,3.0,8,10,50,30,55,3.0,143,1.11,12.9,0.43,0.3217,1.09
137,3.0,8,15,30,20,40,3.0,112,-2.67,7.23,-0.11,0.2857,0.96
138,3.0,8,15,30,20,55,3.0,136,-0.31,9.43,0.25,0.3309,1.06
139,3.0,8,15,30,30,40,3.0,0,0,0,0,0,0
140,3.0,8,15,30,30,55,3.0,132,-0.18,8.58,0.27,0.3182,1.06
141,3.0,8,15,50,20,40,3.0,112,-4.67,11.8,-0.11,0.2857,0.95
142,3.0,8,15,50,20,55,3.0,136,-0.86,15.22,0.25,0.3309,1.05
143,3.0,8,15,50,30,40,3.0,114,-4.89,12.51,-0.12,0.2895,0.95
144,3.0,8,15,50,30,55,3.0,132,-0.63,13.88,0.27,0.3182,1.06
145,4.0,4,5,30,20,40,3.0,149,-6.58,9.26,-0.74,0.4497,0.85
146,4.0,4,5,30,20,55,3.0,186,-10.53,11.65,-1.14,0.4355,0.81
147,4.0,4,5,30,30,40,3.0,149,-6.53,9.21,-0.73,0.4497,0.86
148,4.0,4,5,30,30,55,3.0,176,-4.67,7.63,-0.29,0.4545,0.94
149,4.0,4,5,50,20,40,3.0,149,-10.89,15.03,-0.74,0.4497,0.85
150,4.0,4,5,50,20,55,3.0,186,-17.17,18.74,-1.14,0.4355,0.8
151,4.0,4,5,50,30,40,3.0,149,-10.82,14.96,-0.73,0.4497,0.85
152,4.0,4,5,50,30,55,3.0,176,-7.88,12.48,-0.29,0.4545,0.94
153,4.0,4,10,30,20,40,3.0,136,-6.22,11.17,-0.68,0.4485,0.84
154,4.0,4,10,30,20,55,3.0,165,-9.1,12.64,-0.92,0.4303,0.82
155,4.0,4,10,30,30,40,3.0,136,-6.28,11.23,-0.69,0.4485,0.83
156,4.0,4,10,30,30,55,3.0,160,-7.72,10.86,-0.8,0.4313,0.83
157,4.0,4,10,50,20,40,3.0,136,-10.33,17.98,-0.68,0.4485,0.83
158,4.0,4,10,50,20,55,3.0,165,-14.96,20.25,-0.92,0.4303,0.81
159,4.0,4,10,50,30,40,3.0,136,-10.43,18.07,-0.69,0.4485,0.82
160,4.0,4,10,50,30,55,3.0,160,-12.75,17.51,-0.8,0.4313,0.83
161,4.0,4,15,30,20,40,3.0,135,-9.69,11.93,-1.51,0.437,0.7
162,4.0,4,15,30,20,55,3.0,162,-10.84,14.57,-1.2,0.4198,0.77
163,4.0,4,15,30,30,40,3.0,135,-9.75,11.98,-1.52,0.437,0.7
164,4.0,4,15,30,30,55,3.0,158,-6.88,11.17,-0.67,0.4367,0.85
165,4.0,4,15,50,20,40,3.0,135,-15.75,19.16,-1.51,0.437,0.69
166,4.0,4,15,50,20,55,3.0,162,-17.65,23.16,-1.2,0.4198,0.76
167,4.0,4,15,50,30,40,3.0,135,-15.84,19.25,-1.52,0.437,0.69
168,4.0,4,15,50,30,55,3.0,158,-11.43,17.97,-0.67,0.4367,0.84
169,4.0,6,5,30,20,40,3.0,135,-4.81,6.3,-0.44,0.4296,0.91
170,4.0,6,5,30,20,55,3.0,172,-11.31,12.78,-1.29,0.407,0.79
171,4.0,6,5,30,30,40,3.0,135,-3.5,5.01,-0.22,0.437,0.95
172,4.0,6,5,30,30,55,3.0,165,-8.13,9.71,-0.84,0.4121,0.85
173,4.0,6,5,50,20,40,3.0,135,-8.08,10.41,-0.44,0.4296,0.91
174,4.0,6,5,50,20,55,3.0,172,-18.35,20.56,-1.29,0.407,0.78
175,4.0,6,5,50,30,40,3.0,135,-5.97,8.35,-0.22,0.437,0.95
176,4.0,6,5,50,30,55,3.0,165,-13.41,15.83,-0.84,0.4121,0.85
177,4.0,6,10,30,20,40,3.0,109,1.42,5.94,0.49,0.4037,1.12
178,4.0,6,10,30,20,55,3.0,137,-3.04,8.65,-0.1,0.3942,0.97
179,4.0,6,10,30,30,40,3.0,111,1.14,6.35,0.45,0.4054,1.11
180,4.0,6,10,30,30,55,3.0,133,-4.62,9.05,-0.34,0.3759,0.91
181,4.0,6,10,50,20,40,3.0,109,2.13,9.74,0.49,0.4037,1.12
182,4.0,6,10,50,20,55,3.0,137,-5.31,14.03,-0.1,0.3942,0.96
183,4.0,6,10,50,30,40,3.0,111,1.66,10.41,0.45,0.4054,1.11
184,4.0,6,10,50,30,55,3.0,133,-7.85,14.68,-0.34,0.3759,0.91
185,4.0,6,15,30,20,40,3.0,101,1.46,6.48,0.44,0.3861,1.13
186,4.0,6,15,30,20,55,3.0,133,-6.55,10.44,-0.57,0.3684,0.85
187,4.0,6,15,30,30,40,3.0,103,1.37,6.89,0.43,0.3883,1.12
188,4.0,6,15,30,30,55,3.0,123,-2.92,7.19,-0.11,0.3659,0.96
189,4.0,6,15,50,20,40,3.0,101,2.16,10.6,0.44,0.3861,1.12
190,4.0,6,15,50,20,55,3.0,133,-10.97,16.86,-0.57,0.3684,0.84
191,4.0,6,15,50,30,40,3.0,103,2.0,11.26,0.43,0.3883,1.11
192,4.0,6,15,50,30,55,3.0,123,-5.14,11.75,-0.11,0.3659,0.95
193,4.0,8,5,30,20,40,3.0,132,-6.09,8.56,-0.66,0.4242,0.87
194,4.0,8,5,30,20,55,3.0,162,-9.42,11.09,-1.01,0.4136,0.83
195,4.0,8,5,30,30,40,3.0,132,-4.71,7.21,-0.42,0.4318,0.91
196,4.0,8,5,30,30,55,3.0,154,-4.32,6.49,-0.27,0.4351,0.95
197,4.0,8,5,50,20,40,3.0,132,-10.14,13.98,-0.66,0.4242,0.87
198,4.0,8,5,50,20,55,3.0,162,-15.44,17.98,-1.01,0.4136,0.82
199,4.0,8,5,50,30,40,3.0,132,-7.92,11.86,-0.42,0.4318,0.91
200,4.0,8,5,50,30,55,3.0,154,-7.34,10.74,-0.27,0.4351,0.94
201,4.0,8,10,30,20,40,3.0,100,6.81,7.51,1.15,0.4,1.34
202,4.0,8,10,30,20,55,3.0,120,3.62,6.31,0.7,0.3833,1.18
203,4.0,8,10,30,30,40,3.0,102,6.28,8.12,1.08,0.402,1.31
