idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
64,2.0,8,10,50,30,55,3.0,176,-6.68,20.87,-0.07,0.2216,0.97
65,2.0,8,15,30,20,40,3.0,133,-5.17,13.75,-0.34,0.203,0.9
66,2.0,8,15,30,20,55,3.0,157,0.03,15.63,0.27,0.242,1.06
67,2.0,8,15,30,30,40,3.0,134,-5.7,13.93,-0.4,0.194,0.89
68,2.0,8,15,30,30,55,3.0,153,-2.16,13.62,0.06,0.2288,1.0
69,2.0,8,15,50,20,40,3.0,133,-8.84,21.93,-0.34,0.203,0.89
70,2.0,8,15,50,20,55,3.0,157,-0.58,24.7,0.27,0.242,1.05
71,2.0,8,15,50,30,40,3.0,134,-9.68,22.19,-0.4,0.194,0.88
72,2.0,8,15,50,30,55,3.0,153,-4.14,21.76,0.06,0.2288,0.99
73,3.0,4,5,30,20,40,3.0,165,-3.34,11.72,-0.07,0.4182,0.98
74,3.0,4,5,30,20,55,3.0,213,-5.79,16.14,-0.22,0.4319,0.95
75,3.0,4,5,30,30,40,3.0,158,-4.84,11.35,-0.28,0.4114,0.94
76,3.0,4,5,30,30,55,3.0,193,-4.05,13.01,-0.09,0.4249,0.98
77,3.0,4,5,50,20,40,3.0,165,-5.87,18.93,-0.07,0.4182,0.97
78,3.0,4,5,50,20,55,3.0,213,-9.97,25.65,-0.22,0.4319,0.95
79,3.0,4,5,50,30,40,3.0,158,-8.27,18.35,-0.28,0.4114,0.93
80,3.0,4,5,50,30,55,3.0,193,-7.11,20.93,-0.09,0.4249,0.97
81,3.0,4,10,30,20,40,3.0,157,-1.47,14.15,0.14,0.4268,1.02
82,3.0,4,10,30,20,55,3.0,192,-0.18,18.19,0.3,0.4479,1.05
83,3.0,4,10,30,30,40,3.0,151,-5.49,14.68,-0.35,0.4106,0.92
84,3.0,4,10,30,30,55,3.0,173,1.48,14.44,0.44,0.4335,1.09
85,3.0,4,10,50,20,40,3.0,157,-2.89,22.58,0.14,0.4268,1.01
86,3.0,4,10,50,20,55,3.0,192,-0.94,28.56,0.3,0.4479,1.04
87,3.0,4,10,50,30,40,3.0,151,-9.32,23.38,-0.35,0.4106,0.91
88,3.0,4,10,50,30,55,3.0,173,1.89,23.06,0.44,0.4335,1.08
89,3.0,4,15,30,20,40,3.0,154,-5.96,13.33,-0.43,0.4221,0.9
90,3.0,4,15,30,20,55,3.0,188,-2.34,18.98,0.1,0.4362,1.01
91,3.0,4,15,30,30,40,3.0,149,-6.72,13.87,-0.54,0.4094,0.88
92,3.0,4,15,30,30,55,3.0,170,-3.78,13.5,-0.1,0.4294,0.97
93,3.0,4,15,50,20,40,3.0,154,-10.06,21.37,-0.43,0.4221,0.9
94,3.0,4,15,50,20,55,3.0,188,-4.5,29.7,0.1,0.4362,1.0
95,3.0,4,15,50,30,40,3.0,149,-11.28,22.18,-0.54,0.4094,0.87
96,3.0,4,15,50,30,55,3.0,170,-6.66,21.64,-0.1,0.4294,0.96
97,3.0,6,5,30,20,40,3.0,157,-3.54,11.06,-0.11,0.3822,0.97
98,3.0,6,5,30,20,55,3.0,191,-10.88,17.88,-0.82,0.3665,0.86
99,3.0,6,5,30,30,40,3.0,150,-4.5,10.18,-0.25,0.38,0.95
100,3.0,6,5,30,30,55,3.0,187,-4.19,13.02,-0.1,0.3904,0.97
101,3.0,6,5,50,20,40,3.0,157,-6.18,17.9,-0.11,0.3822,0.97
102,3.0,6,5,50,20,55,3.0,191,-17.92,28.19,-0.82,0.3665,0.85
103,3.0,6,5,50,30,40,3.0,150,-7.72,16.54,-0.25,0.38,0.94
104,3.0,6,5,50,30,55,3.0,187,-7.36,20.94,-0.1,0.3904,0.97
