idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
65,2.0,8,15,30,20,40,3.0,124,14.34,7.64,1.43,0.2903,1.53
66,2.0,8,15,30,20,55,3.0,156,8.12,10.43,0.87,0.25,1.25
67,2.0,8,15,30,30,40,3.0,121,14.98,7.64,1.48,0.2975,1.56
68,2.0,8,15,30,30,55,3.0,128,14.17,8.69,1.32,0.2734,1.46
69,2.0,8,15,50,20,40,3.0,124,24.21,12.4,1.43,0.2903,1.53
70,2.0,8,15,50,20,55,3.0,156,12.97,16.84,0.87,0.25,1.24
71,2.0,8,15,50,30,40,3.0,121,25.37,12.4,1.48,0.2975,1.56
72,2.0,8,15,50,30,55,3.0,128,23.75,14.06,1.32,0.2734,1.46
73,3.0,4,5,30,20,40,3.0,144,10.7,6.33,1.53,0.5208,1.38
74,3.0,4,5,30,20,55,3.0,202,6.48,8.21,0.98,0.4604,1.19
75,3.0,4,5,30,30,40,3.0,142,9.9,6.33,1.44,0.5211,1.36
76,3.0,4,5,30,30,55,3.0,167,8.13,6.66,1.15,0.4731,1.25
77,3.0,4,5,50,20,40,3.0,144,18.02,10.33,1.53,0.5208,1.37
78,3.0,4,5,50,20,55,3.0,202,10.42,13.34,0.98,0.4604,1.18
79,3.0,4,5,50,30,40,3.0,142,16.61,10.33,1.44,0.5211,1.35
80,3.0,4,5,50,30,55,3.0,167,13.38,10.87,1.15,0.4731,1.24
81,3.0,4,10,30,20,40,3.0,137,9.19,6.32,1.25,0.4964,1.34
82,3.0,4,10,30,20,55,3.0,182,-6.17,13.58,-0.34,0.4451,0.92
83,3.0,4,10,30,30,40,3.0,135,8.54,6.32,1.18,0.4963,1.31
84,3.0,4,10,30,30,55,3.0,150,8.35,6.39,1.12,0.4733,1.28
85,3.0,4,10,50,20,40,3.0,137,15.28,10.31,1.25,0.4964,1.33
86,3.0,4,10,50,20,55,3.0,182,-10.49,21.88,-0.34,0.4451,0.91
87,3.0,4,10,50,30,40,3.0,135,14.14,10.31,1.18,0.4963,1.3
88,3.0,4,10,50,30,55,3.0,150,13.73,10.43,1.12,0.4733,1.27
89,3.0,4,15,30,20,40,3.0,133,9.97,6.32,1.3,0.5038,1.37
90,3.0,4,15,30,20,55,3.0,178,-5.43,12.22,-0.26,0.4438,0.93
91,3.0,4,15,30,30,40,3.0,131,9.32,6.32,1.23,0.5038,1.35
92,3.0,4,15,30,30,55,3.0,145,8.82,6.48,1.16,0.4759,1.3
93,3.0,4,15,50,20,40,3.0,133,16.63,10.31,1.3,0.5038,1.36
94,3.0,4,15,50,20,55,3.0,178,-9.33,19.81,-0.26,0.4438,0.93
95,3.0,4,15,50,30,40,3.0,131,15.48,10.31,1.23,0.5038,1.34
96,3.0,4,15,50,30,55,3.0,145,14.56,10.57,1.16,0.4759,1.29
97,3.0,6,5,30,20,40,3.0,136,9.88,6.67,1.59,0.4779,1.36
98,3.0,6,5,30,20,55,3.0,180,5.6,8.3,0.88,0.4333,1.17
99,3.0,6,5,30,30,40,3.0,0,0,0,0,0,0
100,3.0,6,5,30,30,55,3.0,160,12.58,6.78,1.55,0.4688,1.34
101,3.0,6,5,50,20,40,3.0,136,16.64,10.87,1.59,0.4779,1.36
102,3.0,6,5,50,20,55,3.0,180,8.94,13.47,0.88,0.4333,1.16
103,3.0,6,5,50,30,40,3.0,134,15.24,10.87,1.49,0.4776,1.33
104,3.0,6,5,50,30,55,3.0,160,21.23,11.05,1.55,0.4688,1.33
105,3.0,6,10,30,20,40,3.0,111,15.67,6.79,1.87,0.4324,1.61
106,3.0,6,10,30,20,55,3.0,140,18.15,7.53,1.74,0.4,1.52
107,3.0,6,10,30,30,40,3.0,110,13.34,6.79,1.65,0.4364,1.52
108,3.0,6,10,30,30,55,3.0,124,24.57,5.72,2.3,0.4516,1.76
109,3.0,6,10,50,20,40,3.0,111,26.9,11.06,1.87,0.4324,1.61
110,3.0,6,10,50,20,55,3.0,140,31.15,12.26,1.74,0.4,1.52
