idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
62,2.0,8,10,50,20,55,3.0,181,-7.33,15.48,-0.1,0.2376,0.96
63,2.0,8,10,50,30,40,3.0,164,-13.77,20.51,-0.65,0.2134,0.84
64,2.0,8,10,50,30,55,3.0,187,-8.76,15.68,-0.2,0.2246,0.94
65,2.0,8,15,30,20,40,3.0,150,-2.62,9.73,0.0,0.2267,0.99
66,2.0,8,15,30,20,55,3.0,150,0.57,11.1,0.35,0.2467,1.08
67,2.0,8,15,30,30,40,3.0,149,-3.66,9.4,-0.13,0.2282,0.96
68,2.0,8,15,30,30,55,3.0,159,-1.97,10.04,0.09,0.2516,1.01
69,2.0,8,15,50,20,40,3.0,150,-4.73,15.73,0.0,0.2267,0.98
70,2.0,8,15,50,20,55,3.0,150,0.5,17.75,0.35,0.2467,1.07
71,2.0,8,15,50,30,40,3.0,149,-6.39,15.22,-0.13,0.2282,0.95
72,2.0,8,15,50,30,55,3.0,159,-3.65,16.11,0.09,0.2516,1.0
73,3.0,4,5,30,20,40,3.0,0,0,0,0,0,0
74,3.0,4,5,30,20,55,3.0,197,4.42,8.42,0.85,0.5025,1.15
75,3.0,4,5,30,30,40,3.0,167,-14.36,16.84,-1.71,0.3533,0.72
76,3.0,4,5,30,30,55,3.0,188,-4.9,8.81,-0.22,0.4255,0.95
77,3.0,4,5,50,20,40,3.0,168,-25.7,29.22,-2.01,0.3452,0.68
78,3.0,4,5,50,20,55,3.0,197,6.98,13.78,0.85,0.5025,1.14
79,3.0,4,5,50,30,40,3.0,167,-23.01,26.66,-1.71,0.3533,0.72
80,3.0,4,5,50,30,55,3.0,188,-8.4,14.31,-0.22,0.4255,0.95
81,3.0,4,10,30,20,40,3.0,160,-14.44,16.51,-1.55,0.3438,0.71
82,3.0,4,10,30,20,55,3.0,180,4.53,8.73,0.76,0.4667,1.16
83,3.0,4,10,30,30,40,3.0,160,-13.06,15.16,-1.32,0.3438,0.74
84,3.0,4,10,30,30,55,3.0,173,-0.98,8.91,0.21,0.4046,1.04
85,3.0,4,10,50,20,40,3.0,160,-23.18,26.23,-1.55,0.3438,0.7
86,3.0,4,10,50,20,55,3.0,180,7.09,14.13,0.76,0.4667,1.15
87,3.0,4,10,50,30,40,3.0,160,-21.12,24.25,-1.32,0.3438,0.74
88,3.0,4,10,50,30,55,3.0,173,-2.11,14.48,0.21,0.4046,1.03
89,3.0,4,15,30,20,40,3.0,161,-13.95,16.03,-1.46,0.3478,0.72
90,3.0,4,15,30,20,55,3.0,178,3.66,8.73,0.7,0.4607,1.14
91,3.0,4,15,30,30,40,3.0,160,-12.01,14.13,-1.18,0.35,0.76
92,3.0,4,15,30,30,55,3.0,171,-3.67,10.13,-0.08,0.3918,0.97
93,3.0,4,15,50,20,40,3.0,161,-22.45,25.53,-1.46,0.3478,0.71
94,3.0,4,15,50,20,55,3.0,178,5.65,14.13,0.7,0.4607,1.14
95,3.0,4,15,50,30,40,3.0,160,-19.52,22.72,-1.18,0.35,0.76
96,3.0,4,15,50,30,55,3.0,171,-6.47,16.38,-0.08,0.3918,0.96
97,3.0,6,5,30,20,40,3.0,155,-19.17,21.89,-2.55,0.3161,0.62
98,3.0,6,5,30,20,55,3.0,177,7.71,8.89,1.1,0.4576,1.2
99,3.0,6,5,30,30,40,3.0,155,-17.17,19.96,-2.2,0.329,0.66
100,3.0,6,5,30,30,55,3.0,180,-8.48,10.94,-0.63,0.3722,0.89
101,3.0,6,5,50,20,40,3.0,155,-30.08,33.93,-2.55,0.3161,0.61
102,3.0,6,5,50,20,55,3.0,177,12.6,14.53,1.1,0.4576,1.19
103,3.0,6,5,50,30,40,3.0,155,-27.17,31.19,-2.2,0.329,0.66
104,3.0,6,5,50,30,55,3.0,180,-14.12,17.89,-0.63,0.3722,0.88
105,3.0,6,10,30,20,40,3.0,136,-7.98,13.86,-0.63,0.3162,0.85
106,3.0,6,10,30,20,55,3.0,149,11.07,7.35,1.22,0.4228,1.3
107,3.0,6,10,30,30,40,3.0,136,-7.98,13.86,-0.63,0.3162,0.85
108,3.0,6,10,30,30,55,3.0,154,-3.18,10.52,-0.04,0.3312,0.98
109,3.0,6,10,50,20,40,3.0,136,-13.35,22.34,-0.63,0.3162,0.85
110,3.0,6,10,50,20,55,3.0,149,18.37,12.06,1.22,0.4228,1.29
111,3.0,6,10,50,30,40,3.0,136,-13.35,22.34,-0.63,0.3162,0.85
112,3.0,6,10,50,30,55,3.0,154,-5.79,17.01,-0.04,0.3312,0.97
113,3.0,6,15,30,20,40,3.0,133,-7.21,13.04,-0.52,0.3083,0.87
114,3.0,6,15,30,20,55,3.0,141,4.28,9.3,0.67,0.4113,1.15
115,3.0,6,15,30,30,40,3.0,132,-6.45,12.32,-0.44,0.3106,0.89
116,3.0,6,15,30,30,55,3.0,145,-6.98,11.05,-0.47,0.3103,0.89
117,3.0,6,15,50,20,40,3.0,133,-12.18,21.11,-0.52,0.3083,0.86
118,3.0,6,15,50,20,55,3.0,141,6.64,15.04,0.67,0.4113,1.14
119,3.0,6,15,50,30,40,3.0,132,-10.96,20.02,-0.44,0.3106,0.88
120,3.0,6,15,50,30,55,3.0,145,-11.8,18.0,-0.47,0.3103,0.88
121,3.0,8,5,30,20,40,3.0,151,-19.9,22.45,-2.67,0.3113,0.6
122,3.0,8,5,30,20,55,3.0,177,3.25,8.03,0.67,0.4463,1.11
123,3.0,8,5,30,30,40,3.0,151,-17.92,20.53,-2.32,0.3245,0.64
124,3.0,8,5,30,30,55,3.0,176,-9.08,11.42,-0.71,0.375,0.87
125,3.0,8,5,50,20,40,3.0,151,-31.13,34.73,-2.67,0.3113,0.6
126,3.0,8,5,50,20,55,3.0,177,4.96,13.17,0.67,0.4463,1.11
127,3.0,8,5,50,30,40,3.0,151,-28.27,32.02,-2.32,0.3245,0.64
128,3.0,8,5,50,30,55,3.0,176,-15.06,18.63,-0.71,0.375,0.87
129,3.0,8,10,30,20,40,3.0,127,-7.32,13.23,-0.55,0.2835,0.87
130,3.0,8,10,30,20,55,3.0,132,11.77,7.16,1.26,0.3939,1.33
131,3.0,8,10,30,30,40,3.0,127,-7.32,13.23,-0.55,0.2835,0.87
132,3.0,8,10,30,30,55,3.0,141,-1.28,9.93,0.13,0.3121,1.02
133,3.0,8,10,50,20,40,3.0,127,-12.34,21.41,-0.55,0.2835,0.86
134,3.0,8,10,50,20,55,3.0,132,19.6,11.66,1.26,0.3939,1.32
135,3.0,8,10,50,30,40,3.0,127,-12.34,21.41,-0.55,0.2835,0.86
136,3.0,8,10,50,30,55,3.0,141,-2.7,16.1,0.13,0.3121,1.01
137,3.0,8,15,30,20,40,3.0,118,-6.43,11.96,-0.45,0.2797,0.88
138,3.0,8,15,30,20,55,3.0,120,6.76,8.67,0.89,0.375,1.24
139,3.0,8,15,30,30,40,3.0,117,-5.66,11.96,-0.37,0.2821,0.89
140,3.0,8,15,30,30,55,3.0,127,-3.1,10.44,-0.08,0.3071,0.97
141,3.0,8,15,50,20,40,3.0,118,-10.93,19.25,-0.45,0.2797,0.87
142,3.0,8,15,50,20,55,3.0,120,10.92,13.99,0.89,0.375,1.23
143,3.0,8,15,50,30,40,3.0,117,-9.7,19.25,-0.37,0.2821,0.88
144,3.0,8,15,50,30,55,3.0,127,-5.58,16.93,-0.08,0.3071,0.96
145,4.0,4,5,30,20,40,3.0,150,-17.12,19.37,-2.04,0.4,0.67
146,4.0,4,5,30,20,55,3.0,183,0.22,10.46,0.35,0.5355,1.06
147,4.0,4,5,30,30,40,3.0,150,-15.19,17.49,-1.74,0.4067,0.71
148,4.0,4,5,30,30,55,3.0,171,-4.35,10.02,-0.16,0.4912,0.96
149,4.0,4,5,50,20,40,3.0,150,-27.14,30.38,-2.04,0.4,0.67
150,4.0,4,5,50,20,55,3.0,183,-0.16,16.98,0.35,0.5355,1.05
151,4.0,4,5,50,30,40,3.0,150,-24.29,27.65,-1.74,0.4067,0.71
152,4.0,4,5,50,30,55,3.0,171,-7.56,16.47,-0.16,0.4912,0.96
153,4.0,4,10,30,20,40,3.0,142,-13.0,15.15,-1.3,0.4155,0.74
154,4.0,4,10,30,20,55,3.0,168,1.23,9.87,0.42,0.5179,1.08
155,4.0,4,10,30,30,40,3.0,142,-11.55,13.74,-1.09,0.4155,0.78
156,4.0,4,10,30,30,55,3.0,157,-0.55,8.01,0.23,0.4841,1.04
157,4.0,4,10,50,20,40,3.0,142,-21.04,24.26,-1.3,0.4155,0.74
158,4.0,4,10,50,20,55,3.0,168,1.48,15.96,0.42,0.5179,1.07
159,4.0,4,10,50,30,40,3.0,142,-18.85,22.16,-1.09,0.4155,0.77
160,4.0,4,10,50,30,55,3.0,157,-1.44,13.05,0.23,0.4841,1.03
161,4.0,4,15,30,20,40,3.0,143,-12.34,14.51,-1.2,0.4196,0.75
162,4.0,4,15,30,20,55,3.0,166,0.65,9.87,0.37,0.5181,1.07
163,4.0,4,15,30,30,40,3.0,142,-10.08,12.31,-0.91,0.4225,0.81
164,4.0,4,15,30,30,55,3.0,156,-3.44,9.43,-0.08,0.4679,0.97
165,4.0,4,15,50,20,40,3.0,143,-20.06,23.32,-1.2,0.4196,0.75
166,4.0,4,15,50,20,55,3.0,166,0.56,15.93,0.37,0.5181,1.06
